Page,Num,Title,Price,Deal,Location,Shop,IsPostFree,Title_URL,Shop_URL,Img_URL
1,1,TALI猫咪胡须收纳盒收藏留念猫须爱宠木,24,3000,广东 惠州,胖橘便利店,/,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%22f6d3a5cb355fbf719bee385ea208e6e6%22%7D&id=708610171151&ns=1&xxc=ad_ztc&skuId=4974967017655,http://click.simba.taobao.com/cc_im?p=%B3%E8%CE%EF%BC%CD%C4%EE&s=202952677&k=1581&e=%2F2evCEbNKiAKychjEGph1teqRD%2FjyC8OuKmWX%2BykwDIzyGUtKEMN8yTlk%2F4qvMGSBY1TDCbmUsY0%2BPQ1iYWzvem8K6zmDqzif4XLC31icd29vYhdxCqRALLuUVJf6Zk1YYhXrWRvN%2BFkIjeeMaVeJPvtPz3ZARRdEtedxlCeDGch117hAVTzcxj66LFkYSnNyImSJdlNpQx1sUo0eOgoys%2BprJREwpA%2FH6PuRxl1DwzrDoXd7laeCJ1wfhEhK1%2BaPzd07Uv02R4DmxZNrr5Xmp40VS%2BcileV2p%2FECksWmwdgZM4l8SJgE13BAkOOhaoLZBVP1sjeUU32NHkeSyzoApCH7TfBfCa8zU7rVryHT405PWhPi7eZsXTCX25sbGHgV62aidlR%2FB1mSU4yUTJM9VpFmaR8T%2BqIi6ZPfnqcd0uCM%2F5rq4%2Fafh5esetJHWmngVlmxCd7EWKUjWBOwKT3iPYzw3L4JMhs6llPOJ8i0NAy2VD3rZAn2lIz9t06hYdvAAjQcIUMyy1l%2FcgYKlX9I6uANZ9aLhNQLtSDA9oAip%2FzwgRt435pNU6%2FGUBA3KwbTzWo1CiWu8JxfV6gFJ8yy02mjWcsiGY4rbjIvzJ%2B%2BMzdQdtTwdx3tSMmL3L7k%2BNgFKXqEOwMJ%2F%2F14Anpk6l8w5hQAt4XOxHsUK5SnZaOAr4YrO%2F7zjeUqBhtY1JIjYdwayCvJVxh%2Bv5zKp13xQv36u7NMauZVUM6Iy4gYNN2k%2FiFck4YcW73B%2FALTFnf6MQLonM6yaMha9kutzHjUDSFOqtyRW5cvAxzAZk9P7Ox75a99IUYyBcb%2B8WZW3%2FvJ5KRe1Tvkv8UmDefdd8uOqC%2B8cHPMx5wYVnGd2Iq0nfaWHpUYe%2FraWlSe8Z6QtvuzzrYGQgtvigkHh4knEkszGSmr%2BetjP2iFCeH6ClRgmTOVFbm%2Byqyr3izwyoYPwtb7B6Qr38V45BZFzZYuEbDRyhTb8bbyObYAcoTz%2FEFSh5q%2BdgK5Z16StvZJlCflaUvhQIxx9jGWEHhY%2FKLpk9%2Bepx3S8cQOgqUCeS1XklOVCW7SRNywZ9B1I1zssMvR4DHs9Wd676hvrhGpw6q%2BrxlDDAEu7RRRV8O%2Fs644L5ALotW3moaFcsO3D1k0mjPjl9zUg8Ln%2FbrFXDICyX%2F3GkIowEhwgq2968%2Fu%2Ff3N1Sk3WkC%2FVOKxSj%2Bvg12wZhQAt4XOxHsvz3ndPsb6BAda6IdXx6V3C3DUko9XVXKmFAC3hc7Eey8eZufSoikCUKcEipKmViYu29YKdHifuUDEYpPEJMNZi1KZSzV2UAzkbdEzTtyERo%2BrhGtZ1x25wut5yaB03Bs9K%2B9ijlZktmOxOdQr62S2fRnkIduSkQX2%2FqyS6s48jZpss3%2FQmdL6jyomGBfRZ55epum%2FCt%2FIuVKX92jwZH%2Fc84MUP6IaDfzgjrSCb%2FMcGYqaWgzs1UMVNFVmsjDu1WuffHNMuDVFXK5Xc36J%2F%2Brxj5KWLvFnAPkqvq8ZQwwBLsaZPxTdKZ6JbjXNP848pL9hQbvZSqXCaovGTjZKdzfyzjIwt3JjFmyMd%2FEuH%2BMEKc%3D,http://img.alicdn.com/img/i2/47502501/O1CN01CIhbuo1ULVNs7Wpe1_!!0-saturn_solar.jpg_580x580q90.jpg_.webp
1,2,照片定制创意手工软陶宠物狗狗公仔玩偶模型去世生日纪念品摆件 宠物 纪念,286.46,300,福建 南平,潭三彩,包邮,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%220ff309e3eea93e076865bb940ec58835%22%7D&id=605405649865&ns=1&abbucket=17&xxc=taobaoSearch&skuId=4415119079301,//store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWWcXy8xgMEQPsWqRrRTPdFPnm8PAu73XzbTtoWHtWtUR,https://g-search3.alicdn.com/img/bao/uploaded/i4/i3/210774307/O1CN01mWFHRD1hgeQ4Lr2CL_!!210774307.jpg_580x580q90.jpg_.webp
1,3,宠物定制项链～来图定制狗猫兔鸟纪念品～ 粘土纯手工～哆宝岛 宠物 纪念,299.9,200,广东 深圳,哆宝岛DoboLand,/,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%22c5c9a0d0777194203c1c4a31a108a4f2%22%7D&id=797945463190&ns=1&abbucket=17&xxc=taobaoSearch&skuId=5610377615166,//store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWU8Asj4YE5c3YUT7ak5RSy2gjkN6wS6Yny4EgQ4h8h9A6,https://g-search2.alicdn.com/img/bao/uploaded/i4/i4/2204178524051/O1CN01yAbXpQ1fnPQAglDzE_!!2204178524051.jpg_580x580q90.jpg_.webp
1,4,宠物纪念毛发盒 狗狗猫咪去世照片定制刻字留念品 骨灰牙齿保存瓶 宠物 纪念,57.42,300,江西 南昌,主子艺窝,包邮,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%2269a5a4352794ac741c915b8154a34c77%22%7D&id=826223402402&ns=1&abbucket=17&xxc=taobaoSearch&skuId=5550169693394,//store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVdmjhzfyU4EFf3DKp797FoGdKwBVrrkDrZMYL1P4wenM,https://g-search2.alicdn.com/img/bao/uploaded/i4/i1/852160897/O1CN017d5tNz1IUsFk1QLqv_!!852160897.jpg_580x580q90.jpg_.webp
1,5,生命晶石宠物骨灰晶石吊坠项链火化善终S925银宝石纪念猫狗兔定制,695,70,广东 广州,佛山应许骨灰晶化中心,包邮,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%22532e8bc56cafb29868c95312ad50b9f6%22%7D&id=710923670347&ns=1&xxc=ad_ztc,http://click.simba.taobao.com/cc_im?p=%B3%E8%CE%EF%BC%CD%C4%EE&s=202952677&k=1581&e=1S3GadiQf8oKychjEGph1teqRD%2FjyC8O%2Bwqgb5TPmzXkokt4tuRjuSxWGj4%2F6x%2B1BY1TDCbmUsaWSHJT6E2vNvUPP7lxD%2FNVYoigCrcentm9vYhdxCqRAHFFg2VyPeoRYYhXrWRvN%2BFkIjeeMaVeJPvtPz3ZARRdEtedxlCeDGch117hAVTzcxj66LFkYSnNyImSJdlNpQx1sUo0eOgoys%2BprJREwpA%2FH6PuRxl1DwzrDoXd7laeCJ1wfhEhK1%2BaPzd07Uv02R4DmxZNrr5Xmp40VS%2BcileV2p%2FECksWmwdgZM4l8SJgE13BAkOOhaoLZBVP1sjeUU32NHkeSyzoArbq3pSVeKUlHbiIG%2BOYW2yt4UXZYAy85RGdzzjR4%2FFjv6N7OKknuGq6CyR061tFNJ7LNE%2Bk7jzO%2BEOybzkVf8Iwym2nEuqlhCK20vDZK%2BAhppzEJAyRDZG%2F%2BsQlsZ3FxKFbeMfCUQEtpHPbTDa29Bs64%2Fp5GsKPVlIz9t06hYdvxI2pCC7vmWrxZZiPALKrRC0iDx8oR6OMn%2FGbKwg%2B39Ufzx6iOvNUdWHdMGJbr0mVtmiKSTjQqXbfvKDrxzT2mQGDXkWbUcd0epum%2FCt%2FIuVKX92jwZH%2Fc84MUP6IaDfzdkxH2JJ1vvbsgjWH%2B2cPDJ17jzrvinu16rwbih8L2eAa5wUNTPD%2Bw6M3P9mrvhf%2BfHKmVGA0E3W1UVq3PwdoPu9m7rnEcMeLy01vTkss6fTQmcimN8jdQEuK6dVsekahwQJxLlhs3PhF9H4UEbbLEDzpIiB6Rij3vSl4LbKKdG1kKu7ZtnWxddrYFL7CMGhgdWM2F%2BUwXFvfIku4kqiPBkNkRN%2F7jmJecAayPW9jYOAvqVDGCUSLmVmXgNgItEwzx86FcOvBvmKIX09oEfBbLtNFwntx%2FbmNs5T8Biv4Dj7GBAnduX%2FTPiaTJEE4pICafsl2QHFFzdBf%2BqxXXRv7OhsE7RM8h75uH7XYbSfVDlUgGAviitGBTwnH4X%2FhDIbcdymReTT3V41OaNPlXgvrFyqmCPAMiWw7Ss9r9LSWM4wNJTffYjiut4U9ffl4Ujsu3hDPsC%2B752KW6iDy01%2B8XwNOxvmo5FvRV5XHvHgvb2FGLCFEgzLhAPvLJp%2BQA0F%2BCYfv%2BO1pP0xdsFBirKd9a4dKNonM8YD2lpu2PE5iHDH9vDCECewPI9ycfgSpA5JNslyomfYimHYvMgS3OQBLtBHIEXuNQZEM3Jx%2BBKkDkk2yXKiZ9iKYdlvrutFgJ0gdf90aFma3qrQ%2FuNsa6FinrNNCGmE8J9Qhg4Q18senUw9Y5ePoijgf1ir74gbafdrTkgTOTPAd8zblMr%2BD7PPDBZs1okou5Y2Uc7DGVD8uU8f1d3ozJ7rjkO%2FF4qgTMSkBcIovrVhfV6XaJjzceaB5Vw%2F1xeREcTf%2FP1H3FyaHKQ0l%2BAnfptqohvdY%2BNO%2F8IkPiOpPUauYbS14kLRFDx4rcZ%2FbFOxV9h%2Fn9wI%2FflVQ9rHPsBKgKKv4Hi%2B1X9An4F7gyC4Rv7U3YfNCLpjhEgiGN0wTdu5RD3y4OW9jTT6lzIY%3D,http://img.alicdn.com/img/i4/16414911/O1CN01QJ3wOc1m9HwJCF4xh_!!0-saturn_solar.jpg_580x580q90.jpg_.webp
1,6,宠物纪念相框狗狗猫毛发收藏保存骨灰纪念宠物离世纪念品定制照片 宠物 纪念 纪念 宠物 纪念,64.93,500,广东 湛江,富贵猫宠物用品,/,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%2208e7820abf0eac4d2caf375043e39de9%22%7D&id=750467326887&ns=1&abbucket=17&xxc=taobaoSearch&skuId=5410794662577,//store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWVmM7nkeLhSYSnrZcY2LNn9ocRtB33iPw3eEpm5k135W2,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2214000541099/O1CN018irItR1JzOHR48Uxo_!!2214000541099.png_580x580q90.jpg_.webp
1,7,宠物平安扣骨灰生命晶石盒火化善终猫狗吊坠项链纪念品定制结绳,695,36,广东 佛山,佛山应许骨灰晶化中心,/,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%2275c79574cab865f46ace057a5863fee7%22%7D&id=810626371879&ns=1&xxc=ad_ztc,http://click.simba.taobao.com/cc_im?p=%B3%E8%CE%EF%BC%CD%C4%EE&s=202952677&k=1601&e=p0A09i%2BxBRUKychjEGph1teqRD%2FjyC8O%2Bwqgb5TPmzXkokt4tuRjuSxWGj4%2F6x%2B1BY1TDCbmUsaWSHJT6E2vNvUPP7lxD%2FNVFXrA%2BOPQ44C9vYhdxCqRAHFFg2VyPeoRYYhXrWRvN%2BFkIjeeMaVeJPvtPz3ZARRdEtedxlCeDGch117hAVTzcxj66LFkYSnNyImSJdlNpQx1sUo0eOgoys%2BprJREwpA%2FH6PuRxl1DwzrDoXd7laeCJ1wfhEhK1%2BaPzd07Uv02R4DmxZNrr5Xmp40VS%2BcileV2p%2FECksWmwdgZM4l8SJgE13BAkOOhaoLZBVP1sjeUU32NHkeSyzoArbq3pSVeKUlocVZh%2FykFrAxMMfyrHuv4BGdzzjR4%2FFjiqGS1ohEFJwZq6%2B0TI9oJ5mlHUatKY7ixhbnQ%2Bon4bOSCSn4jsFVANySP9vGo1wBoYAPQIjyZuoAbCVdggFZ%2FBGdzzjR4%2FFje7QzMFkUkVSSCSn4jsFVAFzRrWNkpu2HxqBvihRAOApC%2Be0dh7v0oViB0siz31nwEICYFkgB%2BNQB2l9QpafAOVaOAiOA4p%2B%2BYd0wYluvSZW2aIpJONCpdt%2B8oOvHNPaZAYNeRZtRx3R6m6b8K38i5Upf3aPBkf9zzgxQ%2FohoN%2FN2TEfYknW%2B9uyCNYf7Zw8MzdFVz9dH2hCnGoTjQWpMgxrnBQ1M8P7DVXztWy3dvVW874twp%2FPTh8P2ZPXvrXr5mwyEYihXcMfLtJvArsZELxV176w0cJzokflGF%2FGitILBAnEuWGzc%2BEX0fhQRtssQPOkiIHpGKPe9KXgtsop0bWQq7tm2dbF12tgUvsIwaGB1YzYX5TBcW98iS7iSqI8GQ2RE3%2FuOYl5wBrI9b2Ng4C%2BpUMYJRIuZWZeA2Ai0TDPHzoVw68G%2BYohfT2gR8Fsu00XCe3H9uY2zlPwGK%2FgOPsYECd25f9M%2BJpMkQTikgJp%2ByXZAcUXN0F%2F6rFddG%2Fs6GwTtEzyHvm5b5Z6A1rMyb%2BkaMqQRjbyU0B9Kxv%2BZpcXFanQOinEm2lYZGds3eJG%2BCyBhdiSzieC%2BgaN00aWk6MbpIgUF0muM6LMFPEtmc0ZR0j6OvojMvmdouKhU%2FBylUzWvNJInRzf7pf%2BQYhv20eekPGVVltEqiRGuwcoIrVNebRqpRV8DBTYLcdF6sW5GreB3afCN9UCMdTHmxmLwkWupX8V4gXNvD%2F6W%2BQ8hQdGOre17RC5zg%2BpA%2BfnCiIBq%2BENi0Mg%2B12qINpgwMaiOso6t7XtELnODBG7vOm2katO2mWCoiUSD3xnQx5xooqd8ckLwkhxK%2BaXrFfpTBD8Z%2BeS132pUW%2Byps0Cgx8J8w0lFtMjjBD0SGLxgtfG0z1oZPxgAToxmK000B8hY%2FHweSttNWMzCmVuqe0Ayham1hqUqjY5jJ1DDrq24yL8yfvjM3UHbU8Hcd7UjJi9y%2B5PjYEUjTuX8zB%2FnUDRmJLGMJKehNlyk0ey3XmdipqHiVM%2BsQgr80nv%2BSNIWMsWdhFRzCFM1rzSSJ0c3kNok2fxQqw6rhT2Y0KdvATVJwrPPOqCwitGJFjba80QJGydBjoVXK4la9SewQNhC,http://img.alicdn.com/img/i2/16414911/O1CN01vmbN0f1m9I442WoEq_!!0-saturn_solar.jpg_580x580q90.jpg_.webp
1,8,宠物纪念定制项链diy照片刻字圆牌吊坠女定做纯银猫咪小狗纪念品 宠物 纪念 纪念,128,1000,福建 龙岩,MISS原创手工银饰,包邮,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%22b2363bf83c49dfad4a50f3712dd35c13%22%7D&id=623511688778&ns=1&abbucket=17&xxc=taobaoSearch&skuId=4416637813867,//store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWaU8qerFsTNXdQgYK7wcCPWHgGidZazC2HRR66c68VEJt,https://g-search1.alicdn.com/img/bao/uploaded/i4/i1/2206927903198/O1CN01Sdg7Ft1ZUjHXGIsCC_!!2206927903198.jpg_580x580q90.jpg_.webp
1,9,宠物猫咪狗狗画像玻璃夹心相框宠物画纯手绘装饰画,30,100,河北 石家庄,宠物画向向,/,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%227b08c596a7650bd29af816fd90f43ebe%22%7D&id=808828407642&ns=1&xxc=ad_ztc&skuId=5497385001747,http://click.simba.taobao.com/cc_im?p=%B3%E8%CE%EF%BC%CD%C4%EE&s=202952677&k=1657&e=L4%2BIxCa72a0KychjEGph1teqRD%2FjyC8O%2Bwqgb5TPmzXkokt4tuRjuSxWGj4%2F6x%2B1BY1TDCbmUsYN4ooZVE3Si09NF6uuhDbPy2E3aRqaWvi9vYhdxCqRAHFFg2VyPeoRYYhXrWRvN%2BFkIjeeMaVeJPvtPz3ZARRdEtedxlCeDGch117hAVTzcxj66LFkYSnNyImSJdlNpQx1sUo0eOgoys%2BprJREwpA%2FH6PuRxl1DwzrDoXd7laeCJ1wfhEhK1%2BaPzd07Uv02R4DmxZNrr5Xmp40VS%2BcileVZO71qgdrWnVET72Z4NQ3sO26meOFa8wl3C4aL6D%2FWeD2NHkeSyzoApCH7TfBfCa8DG6OKqPWtDJGWJ4boT7MEunEgxWnwT67whWXngbm3OqNBzKXn5s4f6GrTx1Ze2t2b9Mq0MPztm8oecrDQxtrsbrlgh6m%2FHkWOkMw%2FquH4kifw8fep%2BrzjNPLI70ic4MHGuW7t%2FHwspzmnrVjydGUOVlsZ5AdMcyVUjP23TqFh28nElepRy%2BgVUjZ3UmdoUujVsjo244GMc9QsL6mUB4yRZWIpboK5jf4iJBZt467CfhfamHuSivaul%2Fy3P4ieQkHEw3QvuTd%2BvAlXKVZ2LPBaunEgxWnwT673hV4i2Km%2BFHaJjzceaB5VwgI3DumzopzIyYvcvuT42Dct3QACr4TXWCip4EnKupvu3lDBVf29RMIqtgY38KR69WjaxuvedZy2Y5%2BCUH4LW7cxj0GMTjNILVRWrc%2FB2g%2BPsZjrU8Cl%2BJ3wRwbrEwC%2FjZ46Kx4U07WLPcR%2BMdRKWwDnS5gN3hCBDP%2BDfAFzX4M7lw2E2aTl%2FA8XadlE0FFq%2BZUvcc%2BhoDYiSHQFDSdcqBAf9snfkvnikUQnqdFGF6obOU6bfze8nr4nY2982Ls%2FCnbYTfat%2BUFUgenWbNAJd%2BjJkOf9yPvr6fxLuEwGQ01GTljCARo3JFsZSu46%2Ffed8ji8kpP53lEH9qYLTyBNO4JJQkub9jUlgqSAg2inNlnWLhGw0coU2%2FZkuFe51hl3aGrTx1Ze2t27dnSZlgY7waNBzKXn5s4f%2BnEgxWnwT67%2F2Egzg%2FQhuIoecrDQxtrsY4pd9JHtG1W4VJPeCE4GhTHP7pz%2Bc4cSjrV9DFNUE2lk17BOMb7RFWFrIEgLnbebHHGQE9Pl7EGg7ykJqqFPAV%2Fnu9I46snVIrRiRY22vNECRsnQY6FVyuK%2FkGFiLDi6Po21UYoey8V2MOgx%2BKp4x7mxYwno4BTvkSNgN3viRDocw%2FzdIQTY0BvHWI6QXQgLvZ5AXZL3MHvRI2A3e%2BJEOjx4sHEhOHQKZ7xEQlYU5ONtY5dsbGrWq3ub36xvLhhGAepG8XD0pGaGoZUQZ47P2%2Be0ongLH6s0I0qaZB5fb%2BKTeHpAaCnKHrhh8iwHFoRJymwvB0YMopKW8rSEKNZijqqScY3JyTs9ei%2BlfKmQMCJ%2BcwljjWhdAd7FplHzQDVab%2FjSVMwoO5I51mu0U72ithasRj1MNVx8dLKbw3TgcYvux5PIRFAAEKbG%2FLrmgPdqEYImDhLERryjQV%2B9WQK4jpqLGbtq%2BFNchqM0jqhzNPS5p61Y8nRlDnuJtRaELsSbuK3W4VlgP9QVEJ5I%2Bvfi%2BEZOYWwO6jN7g%3D%3D,http://img.alicdn.com/img/i1/32743110/O1CN01y7d3AY1YqQjr1R3pB_!!2-saturn_solar.png_580x580q90.jpg_.webp
1,10,宠物毛发牙齿收藏纪念吊坠钥匙扣猫咪狗狗去世骨灰收藏挂件留念 宠物 纪念,27.16,600,河北 石家庄,米小喵宠物用品店,包邮,//item.taobao.com/item.htm?priceTId=2100c82517320797492344787e0bcf&utparam=%7B%22aplus_abtest%22%3A%22127df4149c2852e78df11dc392754344%22%7D&id=716720918351&ns=1&abbucket=17&xxc=taobaoSearch&skuId=5178410571761,//store.taobao.com/shop/view_shop.htm?appUid=RAzN8HWWYYQeyeZ9S5yhJSf9rLKeqUWwkaEXLZDKx7eeQJeUHS9,https://g-search3.alicdn.com/img/bao/uploaded/i4/i1/357551850/O1CN01mdRxVw1PXLYb0uVws_!!357551850.jpg_580x580q90.jpg_.webp
